암호화요양기호,조사기간,levels
JDQ4MTAxMiM1MSMkMSMkMCMkOTkkMzgxMzUxIzIxIyQxIyQ1IyQ2MiQzNjE4MzIjNjEjJDEjJDAjJDgz,202112,0.5
JDQ4MTAxMiM1MSMkMSMkMCMkOTkkMzgxMzUxIzIxIyQxIyQ1IyQ2MiQzNjEyMjIjNjEjJDEjJDgjJDgz,202112,0.5
JDQ4MTAxMiM1MSMkMSMkMCMkOTkkMzgxMzUxIzIxIyQxIyQ1IyQ3MiQ0NjEwMDIjODEjJDEjJDIjJDgz,202112,0.5
JDQ4MTAxMiM1MSMkMSMkMCMkOTkkMzgxMzUxIzIxIyQxIyQ1IyQ3MiQyNjEwMDIjNTEjJDEjJDIjJDgz,202112,0.42857142857142855
JDQ4MTAxMiM1MSMkMSMkMCMkOTkkMzgxMzUxIzIxIyQxIyQ1IyQ3MiQyNjEyMjIjNDEjJDEjJDgjJDgz,202112,0.5
JDQ4MTAxMiM1MSMkMSMkMCMkOTkkMzgxMzUxIzIxIyQxIyQ1IyQ3MiQzNjE0ODEjNzEjJDEjJDgjJDgz,202112,0.42857142857142855
JDQ4MTAxMiM1MSMkMSMkMCMkOTkkMzgxMzUxIzIxIyQxIyQ1IyQ3OSQyNjE4MzIjNTEjJDEjJDIjJDgz,202112,0.5
JDQ4MTAxMiM1MSMkMSMkMCMkOTkkMzgxMzUxIzIxIyQxIyQ1IyQ3OSQyNjEwMDIjNjEjJDEjJDgjJDgz,202112,0.5
JDQ4MTAxMiM1MSMkMSMkMCMkOTkkMzgxMzUxIzIxIyQxIyQ1IyQ3OSQzNjEyMjIjNzEjJDEjJDgjJDgz,202112,0.5
JDQ4MTAxMiM1MSMkMSMkMCMkOTkkMzgxMzUxIzIxIyQxIyQ1IyQ4MiQyNjEyMjIjODEjJDEjJDIjJDgz,202112,0.42857142857142855
JDQ4MTAxMiM1MSMkMSMkMCMkOTkkMzgxMzUxIzIxIyQxIyQ1IyQ4OSQyNjE4MzIjNDEjJDEjJDQjJDgz,202112,0.5
JDQ4MTAxMiM1MSMkMSMkMCMkOTkkMzgxMzUxIzIxIyQxIyQ1IyQ4OSQyNjEyMjIjNDEjJDEjJDgjJDgz,202112,0.2857142857142857
JDQ4MTAxMiM1MSMkMSMkMCMkOTkkMzgxMzUxIzIxIyQxIyQ1IyQ4OSQzNjE4MzIjNTEjJDEjJDIjJDgz,202112,0.5
JDQ4MTAxMiM1MSMkMSMkMCMkOTkkMzgxMzUxIzIxIyQxIyQ1IyQ5MiQ0NjE0ODEjNjEjJDEjJDAjJDgz,202112,0.5
JDQ4MTAxMiM1MSMkMSMkMCMkOTkkMzgxMzUxIzIxIyQxIyQ1IyQ5MiQyNjE0ODEjODEjJDEjJDYjJDgz,202112,0.5
JDQ4MTAxMiM1MSMkMSMkMCMkOTkkMzgxMzUxIzIxIyQxIyQ1IyQ5MiQyNjEyMjIjNjEjJDEjJDQjJDgz,202112,0.35714285714285715
