조사년도,개방ID,학교명,학교급명,시도명,학제유형명,유초중등학생_학생수,초등과정졸업생수,중등과정졸업생수,고등과정졸업생수,유초중등학생_졸업생수,취업자수,일반고진학학생수,특수목적고등학교진학학생수,자율고등학교진학학생수,특성화고진학학생수,특수학급학생수,진학학생수,국내대학진학학생수,국내전문대학진학학생수,국내각종학교진학학생수,국내교육대학진학학생수
2019,1587714910,서울용마초등학교,해당없음,서울,초등학교,1277,0,0,0,201,0,0,0,0,0,8,201,0,0,0,0
2019,1588307678,한빛맹학교,해당없음,서울,특수학교,103,8,8,10,38,1,0,0,0,0,0,5,0,0,0,0
2019,1588980913,숭곡중학교,해당없음,서울,중학교,659,0,0,0,224,0,158,0,0,44,20,202,0,0,0,0
2019,1590659976,서울항동유치원,해당없음,서울,유치원,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,1608989655,정의여자고등학교,해당없음,서울,일반고등학교,875,0,0,0,387,0,0,0,0,0,0,238,158,71,0,0
2019,1620360076,신암유치원,해당없음,서울,유치원,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0
2019,1627490997,명지초등학교,해당없음,서울,초등학교,678,0,0,0,108,0,0,0,0,0,0,108,0,0,0,0
2019,1629749953,총신대부속유치원,해당없음,서울,유치원,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0
2019,1638534188,덕원예술고등학교,해당없음,서울,특수목적고등학교,591,0,0,0,193,0,0,0,0,0,0,126,117,2,0,0
2019,1639930546,대왕중학교,해당없음,서울,중학교,858,0,0,0,323,0,258,0,0,8,7,270,0,0,0,0
2019,1641015768,서울종암초등학교,해당없음,서울,초등학교,573,0,0,0,101,0,0,0,0,0,2,101,0,0,0,0
2019,1645898997,서울청운초등학교병설유치원,해당없음,서울,유치원,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0
2019,1647046446,서울일원초등학교,해당없음,서울,초등학교,520,0,0,0,80,0,0,0,0,0,0,80,0,0,0,0
2019,1650714635,서울청운초등학교,해당없음,서울,초등학교,581,0,0,0,103,0,0,0,0,0,8,103,0,0,0,0
2019,1652476847,강동유정유치원,해당없음,서울,유치원,0,0,0,0,135,0,0,0,0,0,0,0,0,0,0,0
2019,1652660310,인왕유치원,해당없음,서울,유치원,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0
2019,1655870378,남강중학교,해당없음,서울,중학교,379,0,0,0,138,0,91,0,0,36,0,129,0,0,0,0
2019,1665236115,서울상지초등학교,해당없음,서울,초등학교,775,0,0,0,134,0,0,0,0,0,11,134,0,0,0,0
2019,1667176425,보람유치원,해당없음,서울,유치원,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0
2019,1680129885,월계고등학교,해당없음,서울,일반고등학교,596,0,0,0,256,17,0,0,0,0,20,151,88,63,0,0
2019,1684983611,한사랑유치원,해당없음,서울,유치원,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0
2019,1688884079,서울하늘초등학교,원천코드없음,서울,초등학교,1095,0,0,0,134,0,0,0,0,0,13,134,0,0,0,0
2019,1695540785,대유유치원,해당없음,서울,유치원,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0
2019,1703716695,자운고등학교,해당없음,서울,일반고등학교,727,0,0,0,327,0,0,0,0,0,0,189,101,88,0,0
2019,1704382419,서울잠동초등학교,해당없음,서울,초등학교,756,0,0,0,130,0,0,0,0,0,0,130,0,0,0,0
2019,1706789970,연천중학교,해당없음,서울,중학교,375,0,0,0,140,0,88,0,0,40,0,129,0,0,0,0
2019,1707797944,서울삼전초등학교,해당없음,서울,초등학교,904,0,0,0,137,0,0,0,0,0,23,137,0,0,0,0
2019,1711630284,승혜유치원,해당없음,서울,유치원,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0
2019,1720832407,아현산업정보학교,해당없음,서울,각종학교,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,1722692787,서울휘봉초등학교,해당없음,서울,초등학교,766,0,0,0,140,0,0,0,0,0,7,139,0,0,0,0
2019,1729633271,중원중학교,해당없음,서울,중학교,562,0,0,0,250,0,157,0,0,61,9,220,0,0,0,0
2019,1731568217,벧엘유치원,원천코드없음,서울,유치원,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,1733137845,서울숭례초등학교,원천코드없음,서울,초등학교,805,0,0,0,172,0,0,0,0,0,9,172,0,0,0,0
2019,1739402949,서울왕북초등학교,해당없음,서울,초등학교,839,0,0,0,129,0,0,0,0,0,7,129,0,0,0,0
2019,1752483546,수암유치원,해당없음,서울,유치원,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0
2019,1754245758,목원유치원,해당없음,서울,유치원,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0
2019,1755626559,상명사대부속유치원,해당없음,서울,유치원,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0
2019,1757353901,서울율현초등학교,해당없음,서울,초등학교,978,0,0,0,96,0,0,0,0,0,15,96,0,0,0,0
2019,1757876932,오륜중학교,해당없음,서울,중학교,523,0,0,0,201,0,142,0,0,7,0,154,0,0,0,0
2019,1770018756,지현유치원,해당없음,서울,유치원,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0
2019,1773100614,명덕여자중학교,해당없음,서울,중학교,563,0,0,0,193,0,154,0,0,22,0,176,0,0,0,0
2019,1778737545,남강고등학교,해당없음,서울,일반고등학교,744,0,0,0,308,0,0,0,0,0,0,199,121,71,0,7
2019,1782154679,서울한남초등학교병설유치원,해당없음,서울,유치원,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0
2019,1783464133,서울중흥초등학교,해당없음,서울,초등학교,245,0,0,0,48,0,0,0,0,0,9,48,0,0,0,0
2019,1783580541,푸른샘유치원,해당없음,서울,유치원,0,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0
2019,1785269260,성신여자중학교,해당없음,서울,중학교,600,0,0,0,240,0,182,0,0,31,0,213,0,0,0,0
2019,1786370038,은평대영학교,해당없음,서울,특수학교,238,9,21,32,85,4,0,0,0,0,0,0,0,0,0,0
2019,1790519952,대림유치원,원천코드없음,서울,유치원,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,1792044520,예랑유치원,해당없음,서울,유치원,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0
2019,1796258807,신길에덴유치원,해당없음,서울,유치원,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0
2019,1797727048,서울명덕초등학교,해당없음,서울,초등학교,1764,0,0,0,234,0,0,0,0,0,10,233,0,0,0,0
2019,1798546731,예림유치원,해당없음,서울,유치원,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0
2019,1805325210,서울반원초등학교,해당없음,서울,초등학교,1373,0,0,0,267,0,0,0,0,0,0,267,0,0,0,0
2019,1806929707,서울방학초등학교,해당없음,서울,초등학교,677,0,0,0,103,0,0,0,0,0,11,103,0,0,0,0
2019,1809507310,명덕여자고등학교,해당없음,서울,일반고등학교,1196,0,0,0,490,0,0,0,0,0,0,300,216,78,0,4
2019,1813480198,경신고등학교,해당없음,서울,일반고등학교,645,0,0,0,323,5,0,0,0,0,0,171,120,48,0,0
2019,1820642232,경기고등학교,해당없음,서울,일반고등학교,1214,0,0,0,543,0,0,0,0,0,20,216,193,23,0,0
2019,1821316540,서울인수초등학교,해당없음,서울,초등학교,834,0,0,0,127,0,0,0,0,0,10,127,0,0,0,0
2019,1821792900,서울영풍초등학교병설유치원,해당없음,서울,유치원,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0
2019,1824313640,아이코리아부속새세대유치원,해당없음,서울,유치원,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0
2019,1826046884,양서유치원,해당없음,서울,유치원,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,1829140007,서울미래초등학교병설유치원,해당없음,서울,유치원,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0
2019,1832571625,은혜유치원,해당없음,서울,유치원,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
2019,1837700009,서울남천초등학교병설유치원,해당없음,서울,유치원,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0
2019,1840333938,예닮유치원,해당없음,서울,유치원,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0
2019,1843555271,선경유치원,해당없음,서울,유치원,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0
2019,1852833569,서울양목초등학교병설유치원,해당없음,서울,유치원,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0
2019,1854467034,서울유현초등학교,해당없음,서울,초등학교,422,0,0,0,67,0,0,0,0,0,9,67,0,0,0,0
2019,1857669591,서울지향초등학교,해당없음,서울,초등학교,737,0,0,0,123,0,0,0,0,0,6,123,0,0,0,0
2019,1860215544,하나유치원,해당없음,서울,유치원,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0
2019,1862383306,서울청파초등학교,해당없음,서울,초등학교,447,0,0,0,75,0,0,0,0,0,13,75,0,0,0,0
2019,1865155637,염광메디텍고등학교,해당없음,서울,특성화고등학교,508,0,0,0,179,34,0,0,0,0,11,90,20,70,0,0
2019,1870923459,동일중학교,해당없음,서울,중학교,565,0,0,0,176,0,105,0,0,38,0,143,0,0,0,0
2019,1872360587,서울월정초등학교병설유치원,해당없음,서울,유치원,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0
2019,1872973203,성민유치원,해당없음,서울,유치원,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,1873266100,꿈나무유치원,해당없음,서울,유치원,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0
2019,1874858260,하나유치원,해당없음,서울,유치원,0,0,0,0,96,0,0,0,0,0,0,0,0,0,0,0
