k-아파트코드,k-아파트명,주소(시군구),주소(읍면동),lon,lat,min_lat,max_lat,min_lon,max_lon,safetyScore,safetyClass,hospitalScore,educationScore,cluster,DistanceToCenter,score,class
A13187501,중화극동,중랑구,중화동,127.0837949,37.6036519,37.5766519,37.6306519,127.0567949,127.1107949,0.3805559908333105,1.0,0.8325469687888692,0.3402621293529502,2,-0.37350309131702597,0.3273648683573912,1.0
A15185201,신림현대성우,관악구,신림동,126.9372705,37.4837087,37.4567087,37.5107087,126.9102705,126.9642705,0.6317542926344556,0.0,0.27314170685118005,0.3402621293529502,0,-0.22738523697140764,0.7067650930031399,0.0
A11084601,평창롯데,종로구,평창동,126.9756922,37.6091332,37.5821332,37.6361332,126.9486922,127.0026922,0.10407554639066155,2.0,0.8935552245476677,0.3402621293529502,2,-0.47236491595945923,0.22850304371495794,1.0
A13820002,문정세양청마루,송파구,문정동,127.1370266,37.4924314,37.4654314,37.5194314,127.1100266,127.1640266,0.10164965975047316,2.0,0.3996992299511809,0.3402621293529502,2,-0.23128141460722554,0.46958654506719166,1.0
A15101501,보라매갑을,관악구,신림동,126.9219256,37.4891251,37.4621251,37.5161251,126.8949256,126.9489256,0.747473018458757,0.0,0.8137168318987807,0.3402621293529502,0,-0.33664441329170575,0.5975059166828418,0.0
A13312101,성수두산위브,성동구,성수동2가,127.0584774,37.5372327,37.5102327,37.5642327,127.0314774,127.0854774,0.7974860192413539,0.0,0.4201672571252205,0.4344057258490772,0,-0.1283047596830223,0.8058455702915253,0.0
A15283801,신도림쌍용플래티넘노블,구로구,구로동,126.8912982,37.5009591,37.4739591,37.5279591,126.8642982,126.9182982,0.6451649910393616,0.0,0.26496344047797193,0.4344057258490772,0,-0.22980020162750414,0.7043501283470435,0.0
A15007101,대림갑을명가,영등포구,대림동,126.9036771,37.4956182,37.4686182,37.5226182,126.8766771,126.9306771,0.7361362209650195,0.0,0.29969165026747624,0.4344057258490772,0,-0.19461114755227915,0.7395391824222685,0.0
A13980803,공릉1동삼익,노원구,공릉동,127.0723375,37.6181002,37.5911002,37.6451002,127.0453375,127.0993375,0.34337309144558636,1.0,0.385126800106489,0.4344057258490772,2,-0.09766210550450627,0.6032058541699109,1.0
A14319002,자양한강극동,광진구,자양동,127.0644764,37.5336956,37.5066956,37.5606956,127.0374764,127.0914764,0.5707813290080079,0.0,0.325947018501915,0.4344057258490772,0,-0.2065244222008234,0.7276259077737242,0.0
A13510001,청담삼성1차,강남구,청담동,127.0478619,37.5194421,37.4924421,37.5464421,127.0208619,127.0748619,0.8176370107669733,0.0,0.49521115423970774,0.4612853600921811,0,-0.14088897279333165,0.7932613571812159,0.0
A13292501,창동현대타운(주복),도봉구,창동,127.0352336,37.6470839,37.6200839,37.6740839,127.0082336,127.0622336,0.4088625591687187,1.0,0.16619731571214288,0.4612853600921811,2,-0.32721872726781986,0.3736492324065973,1.0
A13311101,성수금호3차,성동구,성수동1가,127.0504009,37.5420274,37.5150274,37.5690274,127.0234009,127.0774009,0.5853335391273563,0.0,0.4056790565812125,0.4612853600921811,0,-0.15229591969242098,0.7818544102821267,0.0
A13201001,도봉서광,도봉구,도봉동,127.049861,37.6783964,37.6513964,37.7053964,127.022861,127.076861,0.08386282832779321,2.0,0.20854203656561432,0.4612853600921811,2,-0.35022494112847985,0.3506430185459373,1.0
A13185501,묵동세방,중랑구,묵동,127.0835522,37.6153547,37.5883547,37.6423547,127.0565522,127.1105522,0.33009886241547726,1.0,0.3462506766908372,0.4612853600921811,2,-0.13768859285832305,0.5631793668160942,1.0
A14321001,광장11현대홈타운,광진구,광장동,127.0969941,37.5430085,37.5160085,37.5700085,127.0699941,127.1239941,0.38505153390814006,1.0,0.03339514747351141,0.2766418118304071,1,-0.27224286706447065,0.14135430706656066,2.0
A13787102,서초2차e편한세상,서초구,서초동,127.0090583,37.4862357,37.4592357,37.5132357,126.9820583,127.0360583,0.39321962688217904,1.0,0.7455976552298115,0.2766418118304071,2,-0.316576920873958,0.3842910388004592,1.0
A13087401,휘경서울가든,동대문구,휘경동,127.0711253,37.5841565,37.5571565,37.6111565,127.0441253,127.0981253,0.6622777632212776,0.0,0.5156806492212156,0.2766418118304071,0,-0.12393724631034538,0.8102130836642022,0.0
A13880201,가락현대6차,송파구,가락동,127.1226268,37.4972327,37.4702327,37.5242327,127.0956268,127.1496268,0.40278626579273347,1.0,0.540404084171779,0.2766418118304071,2,-0.1803926731738737,0.5204752865005435,1.0
A15088802,여의도화랑,영등포구,여의도동,126.9355476,37.5221449,37.4951449,37.5491449,126.9085476,126.9625476,0.4393384358466922,1.0,0.3578472587419017,0.2766418118304071,2,-0.2233085615842405,0.47755939809017667,1.0
A15009501,문래진주,영등포구,문래동5가,126.8847882,37.5171755,37.4901755,37.5441755,126.8577882,126.9117882,0.7042032843042987,0.0,0.22135374730415586,0.2518613941063532,0,-0.29897289095350993,0.6351774390210376,0.0
A15083701,신길삼두,영등포구,신길동,126.9238594,37.5143228,37.4873228,37.5413228,126.8968594,126.9508594,0.7109536528182652,0.0,0.6679573790150279,0.2518613941063532,0,-0.2309155748460796,0.703234755128468,0.0
A13583301,논현동부센트레빌,강남구,논현동,127.0376735,37.5103594,37.4833594,37.5373594,127.0106735,127.0646735,1.0,0.0,0.5672840389606681,0.2518613941063532,0,-0.34535476709917956,0.588795562875368,0.0
A12201301,응암경남,은평구,응암동,126.9203156,37.5833193,37.5563193,37.6103193,126.8933156,126.9473156,0.3907288926055523,1.0,0.0,0.2518613941063532,1,-0.24645261154133555,0.16714456258969576,2.0
A13788201,서초현대4차,서초구,서초동,127.0178518,37.5003507,37.4733507,37.5273507,126.9908518,127.0448518,0.7947574574263804,0.0,0.5646560344799542,0.2518613941063532,0,-0.18944121951184223,0.7447091104627054,0.0
A13508001,역삼휴먼터치빌,강남구,역삼동,127.0338294,37.5064114,37.4794114,37.5334114,127.0068294,127.0608294,0.9998276499446537,0.0,0.7561819376801294,0.49976778655650855,0,-0.42160539800010005,0.5125449319744475,0.0
A15785601,방화진로,강서구,방화동,126.8084237,37.5770526,37.5500526,37.6040526,126.7814237,126.8354237,0.015629353260616347,2.0,0.631251171816894,0.49976778655650855,2,-0.3424716313283709,0.3583963283460463,1.0
A13790902,잠원킴스빌리지,서초구,잠원동,127.0067114,37.5109145,37.4839145,37.5379145,126.9797114,127.0337114,0.7037813791097288,0.0,0.3268240268378859,0.49976778655650855,0,-0.19167936636590072,0.7424709636086468,0.0
A15782501,강서월드메르디앙,강서구,내발산동,126.843127,37.5568955,37.5298955,37.5838955,126.816127,126.870127,0.3362594981602065,1.0,0.28504937999329133,0.49976778655650855,2,-0.20905390781517713,0.49181405185924004,1.0
A15284302,구로대성스카이렉스,구로구,구로동,126.8909539,37.4994441,37.4724441,37.5264441,126.8639539,126.9179539,0.6458438193149689,0.0,0.38821970455559346,0.49976778655650855,0,-0.153079082387504,0.7810712475870436,0.0
A12111001,마포경남아너스빌,마포구,신수동,126.934029,37.5487707,37.5217707,37.5757707,126.907029,126.961029,0.3703595979044094,1.0,0.3671745051224604,0.49976778655650855,2,-0.15015453564924902,0.5507134240251681,1.0
A13784401,방배브라운가,서초구,방배동,126.9919326,37.4835259,37.4565259,37.5105259,126.9649326,127.0189326,0.3885712360722303,1.0,0.33853227589676627,0.49976778655650855,2,-0.1791479595533926,0.5217200001210246,1.0
A13181201,면목신성미소지움,중랑구,면목동,127.0961012,37.587218,37.560218,37.614218,127.0691012,127.1231012,0.4136450734635615,1.0,0.4331719702054885,0.49976778655650855,2,-0.14184200187059148,0.5590259578038257,1.0
A13786803,서초3차e편한세상,서초구,서초동,127.0077138,37.4785869,37.4515869,37.5055869,126.9807138,127.0347138,0.39685918611827986,1.0,0.4197434485283459,0.49976778655650855,2,-0.13459778693601948,0.5662701727383976,1.0
A13609001,종암우림카이저팰리스,성북구,종암동,127.0334853,37.6018897,37.5748897,37.6288897,127.0064853,127.0604853,0.5962241963744594,0.0,0.40849084441369,0.49976778655650855,0,-0.16516670388819066,0.768983626086357,0.0
A13481001,길동우성1차,강동구,길동,127.1445299,37.5432755,37.5162755,37.5702755,127.1175299,127.1715299,0.32930054698124034,1.0,0.2048561560673644,0.49976778655650855,2,-0.28296605218655924,0.41790190748785794,1.0
A13880602,가락우성2차아파트,송파구,가락동,127.1255185,37.4918819,37.4648819,37.5188819,127.0985185,127.1525185,0.40540180456743635,1.0,0.4220813257437379,0.49976778655650855,2,-0.13951967455202427,0.5613482851223929,1.0
A15603001,상도동원베네스트,동작구,상도동,126.9444312,37.5029264,37.4759264,37.5299264,126.9174312,126.9714312,0.657570205753365,0.0,0.5816649570867907,0.49976778655650855,0,-0.14934991372174958,0.7848004162527981,0.0
