k-아파트코드,k-아파트명,주소(시군구),주소(읍면동),lon,lat,min_lat,max_lat,min_lon,max_lon,fireVal,policeVal,cctvVal,cluster,DistanceToCenter,score,class
A15283801,신도림쌍용플래티넘노블,구로구,구로동,126.8912982,37.5009591,37.4739591,37.527959100000004,126.8642982,126.9182982,0.7368421052631579,0.3913043478260869,0.7253770028275212,0,0.17319362396899735,1.1747672932997661,0.0
A15007101,대림갑을명가,영등포구,대림동,126.9036771,37.4956182,37.4686182,37.522618200000004,126.8766771,126.9306771,0.7894736842105263,0.5217391304347826,0.8827756833176249,0,0.29972735833113523,1.3013010276619041,0.0
A13980803,공릉1동삼익,노원구,공릉동,127.0723375,37.6181002,37.5911002,37.6451002,127.0453375,127.0993375,0.3157894736842105,0.13043478260869565,0.51248821866164,2,0.11428548507318384,0.7549988006999595,1.0
A14319002,자양한강극동,광진구,자양동,127.0644764,37.5336956,37.5066956,37.5606956,127.0374764,127.0914764,0.631578947368421,0.3913043478260869,0.7170122525918944,0,0.06973187523755822,1.071305544568327,0.0
A13510001,청담삼성1차,강남구,청담동,127.0478619,37.5194421,37.4924421,37.5464421,127.0208619,127.0748619,0.3157894736842105,0.7391304347826086,0.7595428840716305,0,0.41308846486484235,1.4146621341956112,0.0
A13292501,창동현대타운(주복),도봉구,창동,127.0352336,37.6470839,37.6200839,37.6740839,127.0082336,127.0622336,0.5789473684210527,0.2608695652173913,0.5341658812441094,2,0.20537611800371056,0.8460894336304863,1.0
A13311101,성수금호3차,성동구,성수동1가,127.0504009,37.5420274,37.5150274,37.5690274,127.0234009,127.0774009,0.631578947368421,0.43478260869565216,0.7730914231856739,0,0.08997284033309891,1.0915465096638677,0.0
A13201001,도봉서광,도봉구,도봉동,127.049861,37.6783964,37.651396399999996,37.7053964,127.022861,127.07686100000001,0.2631578947368421,0.17391304347826086,0.21783694627709707,1,0.14720095330749716,0.3940406964242475,2.0
A13185501,묵동세방,중랑구,묵동,127.0835522,37.6153547,37.5883547,37.6423547,127.0565522,127.1105522,0.3684210526315789,0.08695652173913043,0.4954052780395853,2,0.09582208987306833,0.736535405499844,1.0
A14321001,광장11현대홈타운,광진구,광장동,127.0969941,37.5430085,37.5160085,37.5700085,127.0699941,127.1239941,0.3157894736842105,0.30434782608695654,0.494698397737983,2,0.17225687857302052,0.8129701941997962,1.0
A13787102,서초2차e편한세상,서초구,서초동,127.0090583,37.4862357,37.4592357,37.5132357,126.9820583,127.03605830000001,0.3684210526315789,0.30434782608695654,0.5736333647502356,2,0.1836180452568929,0.8243313608836687,1.0
A13087401,휘경서울가든,동대문구,휘경동,127.0711253,37.5841565,37.5571565,37.6111565,127.0441253,127.0981253,0.47368421052631576,0.5652173913043478,0.8011310084825636,0,0.1969961269277442,1.1985697962585131,0.0
A13880201,가락현대6차,송파구,가락동,127.1226268,37.4972327,37.4702327,37.5242327,127.0956268,127.14962680000001,0.3157894736842105,0.21739130434782608,0.2981856738925542,2,0.19692447793495846,0.8376377935617342,1.0
A15088802,여의도화랑,영등포구,여의도동,126.9355476,37.5221449,37.4951449,37.5491449,126.9085476,126.96254760000001,0.2631578947368421,0.34782608695652173,0.38501413760603204,2,0.24776563485618464,0.8884789504829603,1.0
A15009501,문래진주,영등포구,문래동5가,126.8847882,37.5171755,37.4901755,37.5441755,126.8577882,126.9117882,0.7368421052631579,0.2608695652173913,0.6039114043355325,0,0.25531118710719297,1.2568848564379618,0.0
A15083701,신길삼두,영등포구,신길동,126.9238594,37.5143228,37.4873228,37.5413228,126.8968594,126.9508594,0.6842105263157894,0.30434782608695654,0.5063619227144204,0,0.26470041199830185,1.2662740813290707,0.0
A13583301,논현동부센트레빌,강남구,논현동,127.0376735,37.5103594,37.4833594,37.5373594,127.0106735,127.0646735,0.2631578947368421,1.0,0.8078463713477851,0,0.666740856461112,1.6683145257918808,0.0
A12201301,응암경남,은평구,응암동,126.9203156,37.5833193,37.5563193,37.6103193,126.8933156,126.9473156,0.42105263157894735,0.08695652173913043,0.6238218661639963,2,0.18015363228168188,0.8208669479084576,1.0
A13788201,서초현대4차,서초구,서초동,127.0178518,37.5003507,37.4733507,37.5273507,126.9908518,127.0448518,0.47368421052631576,0.7826086956521738,0.727497643732328,0,0.38126482867690914,1.382838498007678,0.0
A13508001,역삼휴먼터치빌,강남구,역삼동,127.0338294,37.5064114,37.4794114,37.5334114,127.0068294,127.0608294,0.2631578947368421,1.0,0.8060791705937794,0,0.6665011312629552,1.668074800593724,0.0
A15785601,방화진로,강서구,방화동,126.8084237,37.5770526,37.5500526,37.6040526,126.7814237,126.8354237,0.15789473684210525,0.043478260869565216,0.12429311969839774,1,0.05229362473986829,0.2991333678566186,2.0
A13790902,잠원킴스빌리지,서초구,잠원동,127.0067114,37.5109145,37.4839145,37.5379145,126.9797114,127.0337114,0.3684210526315789,0.4782608695652174,0.5686852026390198,0,0.2547243505891054,1.2562980199198743,0.0
A15782501,강서월드메르디앙,강서구,내발산동,126.843127,37.5568955,37.5298955,37.583895500000004,126.816127,126.870127,0.3157894736842105,0.13043478260869565,0.4419180018850141,2,0.10439104345831154,0.7451043590850872,1.0
A15284302,구로대성스카이렉스,구로구,구로동,126.8909539,37.4994441,37.4724441,37.5264441,126.8639539,126.9179539,0.7368421052631579,0.3913043478260869,0.7366870876531574,0,0.1741378200271728,1.1757114893579417,0.0
A12111001,마포경남아너스빌,마포구,신수동,126.934029,37.5487707,37.5217707,37.5757707,126.907029,126.961029,0.5263157894736842,0.08695652173913043,0.3997408105560792,2,0.15182156590240165,0.7925348815291773,1.0
A13784401,방배브라운가,서초구,방배동,126.9919326,37.4835259,37.456525899999995,37.5105259,126.9649326,127.0189326,0.2631578947368421,0.2608695652173913,0.47042884071630536,2,0.17715250391554674,0.8178658195423224,1.0
A13181201,면목신성미소지움,중랑구,면목동,127.0961012,37.587218,37.560218,37.614218,127.0691012,127.12310120000001,0.21052631578947367,0.21739130434782608,0.5020028275212064,2,0.21202821442871544,0.8527415300554911,1.0
A13786803,서초3차e편한세상,서초구,서초동,127.0077138,37.4785869,37.4515869,37.505586900000004,126.9807138,127.0347138,0.3684210526315789,0.34782608695652173,0.4818567389255419,2,0.18868038223917177,0.8293936978659475,1.0
A13609001,종암우림카이저팰리스,성북구,종암동,127.0334853,37.6018897,37.5748897,37.6288897,127.0064853,127.0604853,0.47368421052631576,0.3913043478260869,0.6694156456173421,0,0.1051208770504236,1.1066945463811924,0.0
A13481001,길동우성1차,강동구,길동,127.1445299,37.5432755,37.5162755,37.5702755,127.1175299,127.1715299,0.42105263157894735,0.13043478260869565,0.37429311969839774,2,0.09471169669518686,0.7354250123219626,1.0
A13880602,가락우성2차아파트,송파구,가락동,127.1255185,37.4918819,37.4648819,37.518881900000004,127.0985185,127.1525185,0.3157894736842105,0.21739130434782608,0.29382657869934026,2,0.2005624840254839,0.8412757996522596,1.0
A15603001,상도동원베네스트,동작구,상도동,126.9444312,37.5029264,37.4759264,37.5299264,126.9174312,126.9714312,0.5263157894736842,0.2608695652173913,0.6082704995287465,0,0.1904482894781886,1.1920219588089576,0.0
A15283701,고척경남1차,구로구,고척동,126.8627712,37.5052906,37.4782906,37.5322906,126.8357712,126.8897712,0.5789473684210527,0.17391304347826086,0.6786050895381716,0,0.24212365425579963,1.2436973235865685,0.0
A13114201,묵동동구햇살,중랑구,묵동,127.0747746,37.613353,37.586352999999995,37.640353,127.0477746,127.1017746,0.47368421052631576,0.21739130434782608,0.5847078228086711,2,0.1469198282696941,0.7876331438964698,1.0
A15602001,대방경남아너스빌,동작구,대방동,126.9256082,37.5116136,37.484613599999996,37.5386136,126.8986082,126.9526082,0.7368421052631579,0.34782608695652173,0.5610273327049953,0,0.24051362405063798,1.2420872933814069,0.0
