구분,주소,이름
1,서울특별시 강서구  강서로7길 39,서울강서 까치산
1,서울특별시 강서구 화곡로65길 63,서울강서 가양
1,서울특별시 양천구 가로공원로 168(임시청사),서울강서 곰달래
2,서울특별시 강서구  금낭화로26길 16,서울강서 방화3
1,서울특별시 강서구  공항대로59다길 80,서울강서 염창
2,서울특별시 강서구  등촌로 167 ,서울강서 등촌2
1,서울특별시 강서구  수명로2길 46 ,서울강서 발산
2,서울특별시 강서구  강서로45다길 71,서울강서 화곡3
1,서울특별시 강서구 마곡중앙5로 32,서울강서 마곡
1,"서울특별시 강동구  구천면로 141, 천호지구대",서울강동 천호
1,서울특별시 강동구 양재대로96길 35,서울강동 길동
1,서울특별시 강동구  성내로 57 성내지구대 ,서울강동 성내
1,서울특별시 강동구  고덕로 137 암사지구대,서울강동 암사
2,서울특별시 강동구  진황도로 239 둔촌파출소,서울강동 둔촌
2,서울특별시 강동구 동남로 895 명일파출소,서울강동 명일
2,서울특별시 강동구  아리수로91길 20,서울강동 강일
2,서울특별시 강동구  고덕로 61길61,서울강동 고덕
2,서울특별시 강동구 고덕로 80길 7,서울강동 상일
2,서울특별시 성북구  화랑로32가길 20 석관파출소,서울종암 석관
1,서울특별시 성북구 장월로174 장위지구대,서울종암 장위
1,서울특별시 성북구  종암로32길 5 월곡지구대,서울종암 월곡
2,서울특별시 성북구  종암로23길 52,서울종암 종암
1,서울특별시 구로구 새말로 26 신구로지구대,서울구로 신구로
1,서울특별시 구로구  고척로1길 34 오류지구대,서울구로 오류
1,서울특별시 구로구  도림로 63 구일지구대,서울구로 구일
1,서울특별시 구로구 중앙로 15길 30 고척지구대,서울구로 고척
1,서울특별시 구로구  개봉로18길 5 개봉지구대,서울구로 개봉
2,서울특별시 구로구  디지털로31길 86 구로3파출소,서울구로 구로3
2,서울특별시 구로구 남부순환로 1275 가리봉파출소,서울구로 가리봉
2,서울특별시 구로구 오리로 1102-8,서울구로 천왕
1,서울특별시 서초구 신반포로190,서울서초 반포
2,서울 서초구 서운로 38,서울서초 서초2
2,서울 서초구 반포대로30길 40,서울서초 서초3
2,서울 서초구 남부순환로356길 9,서울서초 양재
2,서울 서초구 효령로 297,서울서초 서초
2,서울 서초구 양재대로2길 106,서울서초 우면
2,서울특별시 서초구 헌릉로 226,서울서초 내곡
1,서울특별시 양천구  목동동로 373,서울양천 목1
1,서울특별시 양천구  등촌로 166,서울양천 목2
1,서울특별시 양천구  중앙로32길 65,서울양천 신정1
1,서울특별시 양천구 목동로17길 5,서울양천 신정2
1,서울특별시 양천구 지양로 55,서울양천 신월2
2,서울특별시 양천구  남부순환로59길 8 ,서울양천 신월1
2,서울특별시 양천구  중앙로 205,서울양천 신정3
2,서울특별시 양천구  남부순환로31길 37,서울양천 신월5
1,서울특별시 송파구  양재대로71길 5-6,서울송파 방이
1,서울특별시 송파구  올림픽로 101,서울송파 잠실
1,서울특별시 송파구  백제고분로 238,서울송파 삼전
1,서울특별시 송파구  중대로 179,서울송파 가락
1,서울특별시 송파구 충민로2길 18,서울송파 문정
2,서울특별시 송파구  마천로 41길 8,서울송파 마천
2,서울특별시 송파구 새말로15길 9,서울송파 거여
2,서울특별시 송파구  풍성로 42,서울송파 풍납
2,서울특별시 송파구  마천로8길 17,서울송파 오금
2,서울특별시 송파구  올림픽로35길 12 ,서울송파 신천
2,서울특별시 송파구 위례순환로 369,서울송파 위례
1,서울특별시 노원구  노원로17길 64번지,서울노원 당현
1,서울특별시 노원구  월계로55길 58,서울노원 월계
1,서울특별시 노원구  동일로 1034,서울노원 화랑
1,서울특별시 노원구 노원로431,서울노원 노원역
1,서울특별시 노원구  한글비석로 277,서울노원 불암
1,서울특별시 노원구  한글비석로 489 마들지구대,서울노원 마들
2,서울특별시 노원구 수락산로2길 77,서울노원 당고개
2,서울특별시 노원구  동일로 1693,서울노원 상계1
1,서울특별시 서초구  동작대로 34,서울방배 남태령
2,서울특별시 서초구  신반포로 16길 15-14,서울방배 서래
2,서울특별시 서초구  동광로19길 38,서울방배 이수
2,서울특별시 서초구  효령로 31길 64,서울방배 방배1
1,서울특별시 은평구  연서로 290,서울은평 불광
1,서울특별시 은평구  갈현로 195,서울은평 연신내
2,서울특별시 은평구  진관3로 38 진관파출소,서울은평 진관
2,서울특별시 은평구  통일로 737,서울은평 대조
1,서울특별시 도봉구 노해로 392,서울도봉 창동
2,서울특별시 도봉구  도봉로104길 49-5,서울도봉 신창
2,서울특별시 도봉구  도봉로145길 45 방학파출소,서울도봉 방학
2,서울특별시 도봉구  시루봉로5길 10,서울도봉 신방학
2,서울특별시 도봉구  도봉로169길 43 도봉1파출소,서울도봉 도봉1
2,서울특별시 도봉구 도봉로 180나길 33,서울도봉 도봉2
2,서울특별시 도봉구  방학로3길 132,서울도봉 쌍문
2,서울특별시 도봉구  노해로 139 숭미파출소,서울도봉 숭미
1,서울특별시 강남구  언주로 426,서울수서 도곡
1,서울특별시 강남구  삼성로 203,서울수서 대치
2,서울특별시 강남구  밤고개로1길 48,서울수서 수서
2,서울특별시 강남구  헌릉로 623,서울수서 대왕
1,서울특별시 강남구  일원로3길 35 일원파출소,서울수서 일원
1,서울특별시 강남구  개포로 261(1268),서울수서 개포
