학교명,lat,lon,등급
상암고등학교,37.5813414106022,126.883394497343,하
인헌고등학교,37.4723107319026,126.970485117895,하
경일고등학교,37.5438083798316,127.047853796815,하
서울아이티고등학교,37.6424184430399,127.06244927375,하
환일고등학교,37.5537559309443,126.962588449936,하
신현고등학교,37.6052490449627,127.092949934138,하
서울컨벤션고등학교,37.5592845614915,127.158215928554,하
강서고등학교,37.5363155693554,126.865771125825,하
하나고등학교,37.6416375903135,126.936930247565,하
정의여자고등학교,37.6533558400471,127.032427255133,하
덕원예술고등학교,37.5486225773288,126.829024518952,하
월계고등학교,37.6316734128872,127.048388273455,하
자운고등학교,37.6590464061269,127.050690661699,하
남강고등학교,37.4713756726623,126.924909105757,하
명덕여자고등학교,37.5538694849081,126.8339773378,하
